nome,quantidade,preco
Veja Gold 500ml,3,6.59
PANETTONE BAUDUCCO 400g,7,28.95
Leite Em Pó Ninho Integral Lata 380g,3,17.7
Azeite de Oliva Gallo 500ml,2,29.99
Cerveja Heineken Premium Garrafa 6 Long Neck 330ml,4,47.8
Escova Dental Macia Infusão de Carvão Colgate,3,11.8
Água De Coco Esterilizada Kero Coco 1L,2,14.25
Amaciante Downy Concentrado 3L,1,42.98
Picanha Resfriada Maturatta Friboi 1kg,1,98.9
Café Torrado e Moído Tradicional Melitta 500g,4,33.9
Batata Frita Ondulada Original Elma Chips Ruffles Pacote 115g,4,12.33
Arroz Agulhinha Longo Fino Tipo 1 TIO JOÃO 2kg,2,15.29
Salgadinho Batata Frita Pringles® Original 104g,4,11.98
Água Mineral Minalba Sem Gás 510ml C/ 12 Un,4,23.9
Refrigerante sem Açúcar Coca-Cola Zero 2L,4,9.89
Pão de Forma Panco Premium Pacote 500g,4,11.5
Salgadinho Batata Frita Pringles® Creme & Cebola 109g,6,9.8
Papel Higiênico Folha Dupla Neutro Personal,5,14.99
"Ketchup Heinz Tradicional 1,033KG",3,21.99
Arroz Branco Tipo 1 Qualitá Pacote 2kg,7,12.7
